group,delta_baseline,spout_type,spout_position
treatment,11.969276094276097,fixed,right
treatment,-20.030723905723903,variable,left
treatment,2.969276094276097,fixed,left
treatment,-5.030723905723903,variable,right
treatment,7.969276094276097,fixed,right
treatment,-11.030723905723903,variable,left
treatment,1.969276094276097,variable,right
treatment,5.969276094276097,fixed,left
treatment,-10.030723905723903,variable,left
treatment,-9.030723905723903,fixed,right
treatment,-5.030723905723903,fixed,left
treatment,4.969276094276097,variable,right
treatment,-8.030723905723903,variable,left
treatment,6.969276094276097,fixed,right
treatment,3.969276094276097,fixed,left
treatment,-4.030723905723903,variable,right
treatment,-18.030723905723903,variable,left
treatment,20.969276094276097,fixed,right
treatment,8.969276094276097,variable,right
treatment,-12.030723905723903,fixed,left
treatment,4.969276094276097,fixed,right
treatment,-16.030723905723903,variable,left
treatment,-14.030723905723903,fixed,left
treatment,-11.030723905723903,variable,right
treatment,-17.030723905723903,variable,left
treatment,-2.030723905723903,fixed,right
treatment,-11.030723905723903,variable,right
treatment,-3.030723905723903,fixed,left
treatment,-5.030723905723903,fixed,right
treatment,-15.030723905723903,variable,left
treatment,-4.030723905723903,fixed,left
treatment,1.969276094276097,variable,right
treatment,11.630479211786596,fixed,left
treatment,1.6304792117865965,variable,right
treatment,7.6304792117865965,fixed,left
treatment,-19.369520788213404,variable,right
treatment,-2.3695207882134035,variable,left
treatment,-7.3695207882134035,fixed,right
treatment,-11.369520788213404,variable,right
treatment,13.630479211786596,fixed,left
treatment,15.630479211786596,fixed,left
treatment,-17.369520788213404,variable,right
treatment,12.630479211786596,fixed,left
treatment,-23.369520788213404,variable,right
treatment,15.630479211786596,variable,left
treatment,-13.369520788213404,fixed,right
treatment,7.6304792117865965,fixed,left
treatment,-24.369520788213404,variable,right
treatment,-7.3695207882134035,fixed,right
treatment,-18.369520788213404,variable,left
treatment,-20.369520788213404,variable,right
treatment,4.6304792117865965,fixed,left
treatment,-18.369520788213404,variable,left
treatment,4.6304792117865965,fixed,right
treatment,-9.369520788213404,fixed,left
treatment,-10.369520788213404,variable,right
treatment,1.6304792117865965,fixed,right
treatment,-3.3695207882134035,variable,left
treatment,13.630479211786596,fixed,left
treatment,-6.3695207882134035,variable,right
treatment,-20.0629558369502,variable,right
treatment,1.9370441630498014,fixed,left
treatment,-20.0629558369502,fixed,right
treatment,-2.0629558369501986,variable,left
treatment,-17.0629558369502,variable,right
treatment,-2.0629558369501986,fixed,left
treatment,-14.062955836950199,fixed,right
treatment,11.937044163049801,variable,left
treatment,2.9370441630498014,fixed,left
treatment,-18.0629558369502,variable,right
treatment,1.9370441630498014,variable,left
treatment,-14.062955836950199,fixed,right
treatment,-20.0629558369502,variable,right
treatment,-11.062955836950199,fixed,left
treatment,5.937044163049801,variable,left
treatment,-9.062955836950199,fixed,right
treatment,-21.0629558369502,variable,right
treatment,3.9370441630498014,fixed,left
treatment,-11.062955836950199,fixed,right
treatment,1.9370441630498014,variable,left
treatment,-1.0629558369501986,fixed,left
treatment,-20.0629558369502,variable,right
treatment,-6.062955836950199,variable,left
treatment,-18.0629558369502,fixed,right
treatment,-3.0629558369501986,fixed,left
treatment,-19.0629558369502,variable,right
treatment,-10.062955836950199,fixed,right
treatment,-6.062955836950199,variable,left
treatment,5.937044163049801,fixed,left
treatment,-18.0629558369502,variable,right
treatment,0.8767510495905562,fixed,left
treatment,-19.123248950409444,variable,right
treatment,-14.123248950409444,fixed,right
treatment,-15.123248950409444,variable,left
treatment,-21.123248950409444,variable,right
treatment,-0.12324895040944384,fixed,left
treatment,2.876751049590556,fixed,right
treatment,-9.123248950409444,variable,left
treatment,-18.123248950409444,variable,right
treatment,-7.123248950409444,fixed,left
treatment,-22.123248950409444,variable,left
treatment,-8.123248950409444,fixed,right
treatment,0.8767510495905562,fixed,left
treatment,-18.123248950409444,variable,right
treatment,-3.123248950409444,variable,left
treatment,-1.1232489504094438,fixed,right
treatment,5.876751049590556,fixed,left
treatment,-7.123248950409444,variable,right
treatment,-16.123248950409444,fixed,right
treatment,5.876751049590556,variable,left
treatment,3.876751049590556,fixed,left
treatment,-18.123248950409444,variable,right
treatment,3.876751049590556,fixed,right
treatment,-15.123248950409444,variable,left
treatment,-17.123248950409444,variable,right
treatment,-2.123248950409444,fixed,left
treatment,-13.123248950409444,variable,left
treatment,-8.123248950409444,fixed,right
treatment,3.876751049590556,fixed,left
treatment,-23.123248950409444,variable,right
